127.0.0.1 - - [02/Feb/2016:09:35:22 -0500] "GET / HTTP/1.1" 200 3117
127.0.0.1 - - [02/Feb/2016:09:52:19 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:09:55:20 -0500] "GET /buses/new HTTP/1.1" 200 6326
127.0.0.1 - - [02/Feb/2016:09:55:21 -0500] "GET /assets/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:55:21 -0500] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:55:21 -0500] "GET /assets/css/simple-sidebar.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:55:21 -0500] "GET /assets/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:55:21 -0500] "GET /assets/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:55:21 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:09:55:38 -0500] "POST /buses/new HTTP/1.1" 302 364
127.0.0.1 - - [02/Feb/2016:09:55:38 -0500] "GET /buses/new HTTP/1.1" 200 6937
127.0.0.1 - - [02/Feb/2016:09:56:35 -0500] "GET /buses/new HTTP/1.1" 200 6326
127.0.0.1 - - [02/Feb/2016:09:56:35 -0500] "GET /assets/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:56:35 -0500] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:56:35 -0500] "GET /assets/css/simple-sidebar.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:56:35 -0500] "GET /assets/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:56:35 -0500] "GET /assets/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:56:35 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:09:57:01 -0500] "POST /buses/new HTTP/1.1" 500 23709
127.0.0.1 - - [02/Feb/2016:09:57:54 -0500] "POST /buses/new HTTP/1.1" 500 23719
127.0.0.1 - - [02/Feb/2016:09:57:54 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:09:58:20 -0500] "POST /buses/new HTTP/1.1" 500 23717
127.0.0.1 - - [02/Feb/2016:09:58:21 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:09:58:41 -0500] "POST /buses/new HTTP/1.1" 302 348
127.0.0.1 - - [02/Feb/2016:09:58:41 -0500] "GET /buses HTTP/1.1" 500 46769
127.0.0.1 - - [02/Feb/2016:09:59:13 -0500] "GET /buses HTTP/1.1" 200 4072
127.0.0.1 - - [02/Feb/2016:09:59:13 -0500] "GET /assets/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:59:13 -0500] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:59:13 -0500] "GET /assets/css/simple-sidebar.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:59:13 -0500] "GET /assets/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:59:13 -0500] "GET /assets/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:09:59:14 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:10:02:20 -0500] "GET /buses/1 HTTP/1.1" 200 3733
127.0.0.1 - - [02/Feb/2016:10:03:38 -0500] "GET /buses/1 HTTP/1.1" 200 3733
127.0.0.1 - - [02/Feb/2016:10:03:38 -0500] "GET /assets/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:03:38 -0500] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:03:38 -0500] "GET /assets/css/simple-sidebar.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:03:38 -0500] "GET /assets/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:03:38 -0500] "GET /assets/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:03:38 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:10:03:44 -0500] "GET /buses/1/edit HTTP/1.1" 200 5177
127.0.0.1 - - [02/Feb/2016:10:04:12 -0500] "GET /buses/1/edit HTTP/1.1" 200 6215
127.0.0.1 - - [02/Feb/2016:10:04:12 -0500] "GET /assets/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:04:12 -0500] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:04:12 -0500] "GET /assets/css/simple-sidebar.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:04:12 -0500] "GET /assets/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:04:12 -0500] "GET /assets/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:04:12 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:10:04:19 -0500] "GET /servicios HTTP/1.1" 200 4489
127.0.0.1 - - [02/Feb/2016:10:05:06 -0500] "GET /buses/1/edit HTTP/1.1" 200 6212
127.0.0.1 - - [02/Feb/2016:10:05:06 -0500] "GET /assets/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:05:06 -0500] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:05:06 -0500] "GET /assets/css/simple-sidebar.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:05:06 -0500] "GET /assets/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:05:06 -0500] "GET /assets/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:05:06 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:10:05:08 -0500] "GET /buses HTTP/1.1" 200 4072
127.0.0.1 - - [02/Feb/2016:10:05:10 -0500] "GET /buses/new HTTP/1.1" 200 5990
127.0.0.1 - - [02/Feb/2016:10:05:14 -0500] "GET /buses/1/edit HTTP/1.1" 200 6212
127.0.0.1 - - [02/Feb/2016:10:05:16 -0500] "GET /buses HTTP/1.1" 200 4072
127.0.0.1 - - [02/Feb/2016:10:05:17 -0500] "GET /buses/1 HTTP/1.1" 200 3733
127.0.0.1 - - [02/Feb/2016:10:05:54 -0500] "GET /buses/1 HTTP/1.1" 200 3733
127.0.0.1 - - [02/Feb/2016:10:05:55 -0500] "GET /assets/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:05:55 -0500] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:05:55 -0500] "GET /assets/css/simple-sidebar.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:05:55 -0500] "GET /assets/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:05:55 -0500] "GET /assets/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:05:55 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:10:06:07 -0500] "GET /buses/1 HTTP/1.1" 200 3733
127.0.0.1 - - [02/Feb/2016:10:06:08 -0500] "GET /assets/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:06:08 -0500] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:06:08 -0500] "GET /assets/css/simple-sidebar.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:06:08 -0500] "GET /assets/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:06:08 -0500] "GET /assets/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:06:08 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:10:08:18 -0500] "GET /buses/1 HTTP/1.1" 200 3733
127.0.0.1 - - [02/Feb/2016:10:08:18 -0500] "GET /assets/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:08:18 -0500] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:08:18 -0500] "GET /assets/css/simple-sidebar.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:08:18 -0500] "GET /assets/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:08:18 -0500] "GET /assets/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:08:18 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:10:25:10 -0500] "GET /licencias HTTP/1.1" 500 23036
127.0.0.1 - - [02/Feb/2016:10:27:04 -0500] "GET /buses/1 HTTP/1.1" 200 3733
127.0.0.1 - - [02/Feb/2016:10:27:05 -0500] "GET /assets/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:27:05 -0500] "GET /assets/css/simple-sidebar.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:27:05 -0500] "GET /assets/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:27:05 -0500] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:27:05 -0500] "GET /assets/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2016:10:27:05 -0500] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [02/Feb/2016:10:27:07 -0500] "GET /licencias HTTP/1.1" 500 49681
::1 - - [02/Feb/2016:10:28:03 -0500] "GET /phpmyadmin/ HTTP/1.1" 200 13527
::1 - - [02/Feb/2016:10:28:07 -0500] "GET /phpmyadmin/js/whitelist.php?lang=es&db=&token=35bfeb4e6a8a1ae0f642741c7c7bc638&v=4.5.1 HTTP/1.1" 200 482
::1 - - [02/Feb/2016:10:28:07 -0500] "GET /phpmyadmin/phpmyadmin.css.php?nocache=5792097216ltr HTTP/1.1" 200 20074
::1 - - [02/Feb/2016:10:28:07 -0500] "GET /phpmyadmin/js/get_scripts.js.php?scripts%5B%5D=jquery/jquery-1.11.1.min.js&scripts%5B%5D=sprintf.js&scripts%5B%5D=ajax.js&scripts%5B%5D=keyhandler.js&scripts%5B%5D=jquery/jquery-ui-1.11.2.min.js&scripts%5B%5D=jquery/jquery.cookie.js&scripts%5B%5D=jquery/jquery.mousewheel.js&scripts%5B%5D=jquery/jquery.event.drag-2.2.js&scripts%5B%5D=jquery/jquery-ui-timepicker-addon.js&scripts%5B%5D=jquery/jquery.ba-hashchange-1.3.js&scripts%5B%5D=jquery/jquery.debounce-1.0.5.js&scripts%5B%5D=menu-resizer.js&scripts%5B%5D=cross_framing_protection.js&scripts%5B%5D=rte.js&scripts%5B%5D=tracekit/tracekit.js&scripts%5B%5D=error_report.js&scripts%5B%5D=doclinks.js&scripts%5B%5D=functions.js&scripts%5B%5D=navigation.js&scripts%5B%5D=indexes.js&v=4.5.1 HTTP/1.1" 200 216095
::1 - - [02/Feb/2016:10:28:07 -0500] "GET /phpmyadmin/js/get_scripts.js.php?scripts%5B%5D=common.js&scripts%5B%5D=config.js&scripts%5B%5D=page_settings.js&scripts%5B%5D=codemirror/lib/codemirror.js&scripts%5B%5D=codemirror/mode/sql/sql.js&scripts%5B%5D=codemirror/addon/runmode/runmode.js&scripts%5B%5D=codemirror/addon/hint/show-hint.js&scripts%5B%5D=codemirror/addon/hint/sql-hint.js&scripts%5B%5D=codemirror/addon/lint/lint.js&scripts%5B%5D=codemirror/addon/lint/sql-lint.js&scripts%5B%5D=console.js&v=4.5.1 HTTP/1.1" 200 129429
::1 - - [02/Feb/2016:10:28:07 -0500] "GET /phpmyadmin/js/get_image.js.php?theme=pmahomme&v=4.5.1 HTTP/1.1" 200 1822
::1 - - [02/Feb/2016:10:28:07 -0500] "GET /phpmyadmin/js/messages.php?lang=es&db=&token=35bfeb4e6a8a1ae0f642741c7c7bc638&v=4.5.1 HTTP/1.1" 200 9414
::1 - - [02/Feb/2016:10:28:10 -0500] "POST /phpmyadmin/db_structure.php?ajax_request=1&favorite_table=1&sync_favorite_tables=1&token=35bfeb4e6a8a1ae0f642741c7c7bc638 HTTP/1.1" 200 152
::1 - - [02/Feb/2016:10:28:11 -0500] "GET /phpmyadmin/db_structure.php?server=1&db=roma_tours&token=35bfeb4e6a8a1ae0f642741c7c7bc638&ajax_request=true&ajax_page_request=true&_nocache=14544268917824449 HTTP/1.1" 200 6073
::1 - - [02/Feb/2016:10:28:12 -0500] "GET /phpmyadmin/js/get_scripts.js.php?scripts%5B%5D=db_structure.js&scripts%5B%5D=tbl_change.js&call_done=1&v=4.5.1 HTTP/1.1" 200 10260
::1 - - [02/Feb/2016:10:28:10 -0500] "GET /phpmyadmin/version_check.php?server=1&_nocache=1454426890071262069 HTTP/1.1" 200 41
::1 - - [02/Feb/2016:10:28:12 -0500] "GET /phpmyadmin/navigation.php?ajax_request=1&token=35bfeb4e6a8a1ae0f642741c7c7bc638&aPath=cm9vdA%3D%3D.cm9tYV90b3Vycw%3D%3D&vPath=cm9vdA%3D%3D.cm9tYV90b3Vycw%3D%3D&pos=0&pos2_name=&pos2_value=&searchClause=&searchClause2=&_nocache=1454426892908221469 HTTP/1.1" 200 2156
::1 - - [02/Feb/2016:10:28:22 -0500] "POST /phpmyadmin/db_structure.php HTTP/1.1" 200 2011
::1 - - [02/Feb/2016:10:28:25 -0500] "POST /phpmyadmin/db_structure.php HTTP/1.1" 200 2917
::1 - - [02/Feb/2016:10:28:26 -0500] "POST /phpmyadmin/navigation.php?ajax_request=1&token=35bfeb4e6a8a1ae0f642741c7c7bc638 HTTP/1.1" 200 2235
